category,business_id,stars
Sports Wear,n_0UpQx1hsNbnPUSlodU8w,2.5
Accessories,n_0UpQx1hsNbnPUSlodU8w,2.5
Synagogues,qkRM_2X51Yqxk3btlwAQIg,3.5
Religious Organizations,qkRM_2X51Yqxk3btlwAQIg,3.5
Pubs,k0hlBqXX-Bt0vf1op7Jr1w,3.0
Restaurants,k0hlBqXX-Bt0vf1op7Jr1w,3.0
Italian,k0hlBqXX-Bt0vf1op7Jr1w,3.0
Bars,k0hlBqXX-Bt0vf1op7Jr1w,3.0
American (Traditional),k0hlBqXX-Bt0vf1op7Jr1w,3.0
Nightlife,k0hlBqXX-Bt0vf1op7Jr1w,3.0
Greek,k0hlBqXX-Bt0vf1op7Jr1w,3.0
Ice Cream & Frozen Yogurt,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Fast Food,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Burgers,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Restaurants,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Food,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
Department Stores,UJsufbvfyfONHeWdvAHKjA,3.5
Shopping,UJsufbvfyfONHeWdvAHKjA,3.5
Fashion,UJsufbvfyfONHeWdvAHKjA,3.5
Vietnamese,eEOYSgkmpB90uNA7lDOMRA,4.0
Food,eEOYSgkmpB90uNA7lDOMRA,4.0
Restaurants,eEOYSgkmpB90uNA7lDOMRA,4.0
Food Trucks,eEOYSgkmpB90uNA7lDOMRA,4.0
American (Traditional),il_Ro8jwPlHresjw9EGmBg,2.5
Restaurants,il_Ro8jwPlHresjw9EGmBg,2.5
Diners,il_Ro8jwPlHresjw9EGmBg,2.5
Breakfast & Brunch,il_Ro8jwPlHresjw9EGmBg,2.5
General Dentistry,jaxMSoInw8Poo3XeMJt8lQ,5.0
Dentists,jaxMSoInw8Poo3XeMJt8lQ,5.0
Health & Medical,jaxMSoInw8Poo3XeMJt8lQ,5.0
Cosmetic Dentists,jaxMSoInw8Poo3XeMJt8lQ,5.0
Food,0bPLkL0QhhPO5kt1_EXmNQ,4.5
Delis,0bPLkL0QhhPO5kt1_EXmNQ,4.5
Italian,0bPLkL0QhhPO5kt1_EXmNQ,4.5
Bakeries,0bPLkL0QhhPO5kt1_EXmNQ,4.5
Restaurants,0bPLkL0QhhPO5kt1_EXmNQ,4.5
Sushi Bars,MUTTqe8uqyMdBl186RmNeA,4.0
Restaurants,MUTTqe8uqyMdBl186RmNeA,4.0
Japanese,MUTTqe8uqyMdBl186RmNeA,4.0
Automotive,rBmpy_Y1UbBx8ggHlyb7hA,4.5
Auto Parts & Supplies,rBmpy_Y1UbBx8ggHlyb7hA,4.5
Auto Customization,rBmpy_Y1UbBx8ggHlyb7hA,4.5
Vape Shops,M0XSSHqrASOnhgbWDJIpQA,4.0
Tobacco Shops,M0XSSHqrASOnhgbWDJIpQA,4.0
Personal Shopping,M0XSSHqrASOnhgbWDJIpQA,4.0
Vitamins & Supplements,M0XSSHqrASOnhgbWDJIpQA,4.0
Shopping,M0XSSHqrASOnhgbWDJIpQA,4.0
Automotive,8wGISYjYkE2tSqn3cDMu8A,3.5
Car Rental,8wGISYjYkE2tSqn3cDMu8A,3.5
Hotels & Travel,8wGISYjYkE2tSqn3cDMu8A,3.5
Truck Rental,8wGISYjYkE2tSqn3cDMu8A,3.5
Korean,ROeacJQwBeh05Rqg7F6TCg,4.5
Restaurants,ROeacJQwBeh05Rqg7F6TCg,4.5
Coffee & Tea,WKMJwqnfZKsAae75RMP6jA,4.0
Food,WKMJwqnfZKsAae75RMP6jA,4.0
Cafes,WKMJwqnfZKsAae75RMP6jA,4.0
Bars,WKMJwqnfZKsAae75RMP6jA,4.0
Wine Bars,WKMJwqnfZKsAae75RMP6jA,4.0
Restaurants,WKMJwqnfZKsAae75RMP6jA,4.0
Nightlife,WKMJwqnfZKsAae75RMP6jA,4.0
Shopping,qhDdDeI3K4jy2KyzwFN53w,4.0
Books,qhDdDeI3K4jy2KyzwFN53w,4.0
Mags,qhDdDeI3K4jy2KyzwFN53w,4.0
Music & Video,qhDdDeI3K4jy2KyzwFN53w,4.0
Bookstores,qhDdDeI3K4jy2KyzwFN53w,4.0
Steakhouses,kfNv-JZpuN6TVNSO6hHdkw,4.0
Asian Fusion,kfNv-JZpuN6TVNSO6hHdkw,4.0
Restaurants,kfNv-JZpuN6TVNSO6hHdkw,4.0
Restaurants,9OG5YkX1g2GReZM0AskizA,2.5
Italian,9OG5YkX1g2GReZM0AskizA,2.5
Hot Dogs,4iRzR7OaS-QaSXuvYxEGKA,4.0
Restaurants,4iRzR7OaS-QaSXuvYxEGKA,4.0
Pet Services,PSo_C1Sfa13JHjzVNW6ziQ,5.0
Pet Groomers,PSo_C1Sfa13JHjzVNW6ziQ,5.0
Pets,PSo_C1Sfa13JHjzVNW6ziQ,5.0
Veterinarians,PSo_C1Sfa13JHjzVNW6ziQ,5.0
Women's Clothing,noByYNtDLQAra9ccqxdfDw,3.0
Accessories,noByYNtDLQAra9ccqxdfDw,3.0
Children's Clothing,noByYNtDLQAra9ccqxdfDw,3.0
Men's Clothing,noByYNtDLQAra9ccqxdfDw,3.0
Adult,noByYNtDLQAra9ccqxdfDw,3.0
Shopping,noByYNtDLQAra9ccqxdfDw,3.0
Fashion,noByYNtDLQAra9ccqxdfDw,3.0
Restaurants,tMkwHmWFUEXrC9ZduonpTg,4.0
Japanese,tMkwHmWFUEXrC9ZduonpTg,4.0
Seafood,tMkwHmWFUEXrC9ZduonpTg,4.0
Cocktail Bars,QdN72BWoyFypdGJhhI5r7g,4.0
Bars,QdN72BWoyFypdGJhhI5r7g,4.0
Italian,QdN72BWoyFypdGJhhI5r7g,4.0
Nightlife,QdN72BWoyFypdGJhhI5r7g,4.0
Restaurants,QdN72BWoyFypdGJhhI5r7g,4.0
Pizza,sqSqqLy0sN8n2IZrAbzidQ,3.5
Chicken Wings,sqSqqLy0sN8n2IZrAbzidQ,3.5
Sandwiches,sqSqqLy0sN8n2IZrAbzidQ,3.5
Restaurants,sqSqqLy0sN8n2IZrAbzidQ,3.5
Trampoline Parks,fvWn8oXXwbj2l79cochZyw,5.0
Active Life,fvWn8oXXwbj2l79cochZyw,5.0
Pizza,Mjboz24M9NlBeiOJKLEd_Q,3.0
Restaurants,Mjboz24M9NlBeiOJKLEd_Q,3.0
Salad,Mjboz24M9NlBeiOJKLEd_Q,3.0
Soup,Mjboz24M9NlBeiOJKLEd_Q,3.0
Dance Wear,8sshLb4UU7emeUDvtJWnpA,4.5
Sports Wear,8sshLb4UU7emeUDvtJWnpA,4.5
Children's Clothing,8sshLb4UU7emeUDvtJWnpA,4.5
Arts & Entertainment,8sshLb4UU7emeUDvtJWnpA,4.5
Social Clubs,8sshLb4UU7emeUDvtJWnpA,4.5
Performing Arts,8sshLb4UU7emeUDvtJWnpA,4.5
Sporting Goods,8sshLb4UU7emeUDvtJWnpA,4.5
Shoe Stores,8sshLb4UU7emeUDvtJWnpA,4.5
Fashion,8sshLb4UU7emeUDvtJWnpA,4.5
Shopping,8sshLb4UU7emeUDvtJWnpA,4.5
Pizza,kV_Q1oqis8Qli8dUoGpTyQ,3.5
Restaurants,kV_Q1oqis8Qli8dUoGpTyQ,3.5
Event Planning & Services,w_AMNoI1iG9eay7ncmc67w,3.0
Hotels,w_AMNoI1iG9eay7ncmc67w,3.0
Hotels & Travel,w_AMNoI1iG9eay7ncmc67w,3.0
Eatertainment,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Arts & Entertainment,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Brewpubs,aPNXGTDkf-4bjhyMBQxqpQ,3.5
American (Traditional),aPNXGTDkf-4bjhyMBQxqpQ,3.5
Bakeries,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Breweries,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Food,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Restaurants,aPNXGTDkf-4bjhyMBQxqpQ,3.5
Restaurants,2xVsWBNFwZOxIOdd9Mwnww,2.5
Burgers,2xVsWBNFwZOxIOdd9Mwnww,2.5
Mobile Phones,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Telecommunications,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Electronics,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Mobile Phone Accessories,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Local Services,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Shopping,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
IT Services & Computer Repair,mGFsPRHdE6SMV1gYQ6GzgQ,2.0
Museums,LcAozWCMLGjwRbokaJAKMg,4.5
Kids Activities,LcAozWCMLGjwRbokaJAKMg,4.5
Arts & Entertainment,LcAozWCMLGjwRbokaJAKMg,4.5
Education,LcAozWCMLGjwRbokaJAKMg,4.5
Active Life,LcAozWCMLGjwRbokaJAKMg,4.5
Playgrounds,LcAozWCMLGjwRbokaJAKMg,4.5
Children's Museums,LcAozWCMLGjwRbokaJAKMg,4.5
Musicians,fSCNwMtNNQY9QT69Cj9fiA,5.0
DJs,fSCNwMtNNQY9QT69Cj9fiA,5.0
Karaoke,fSCNwMtNNQY9QT69Cj9fiA,5.0
Event Planning & Services,fSCNwMtNNQY9QT69Cj9fiA,5.0
Nightlife,fSCNwMtNNQY9QT69Cj9fiA,5.0
Hair Salons,x1mhq4IpWctQOBM06dU8vg,1.5
Hair Extensions,x1mhq4IpWctQOBM06dU8vg,1.5
Beauty & Spas,x1mhq4IpWctQOBM06dU8vg,1.5
Wigs,x1mhq4IpWctQOBM06dU8vg,1.5
Shopping,x1mhq4IpWctQOBM06dU8vg,1.5
Restaurants,ljxNT9p0y7YMPx0fcNBGig,3.0
Specialty Food,ljxNT9p0y7YMPx0fcNBGig,3.0
Steakhouses,ljxNT9p0y7YMPx0fcNBGig,3.0
Food,ljxNT9p0y7YMPx0fcNBGig,3.0
Italian,ljxNT9p0y7YMPx0fcNBGig,3.0
Pizza,ljxNT9p0y7YMPx0fcNBGig,3.0
Pasta Shops,ljxNT9p0y7YMPx0fcNBGig,3.0
DUI Law,lwItZ1Ck3KtpCgG4CPFmpQ,5.0
Professional Services,lwItZ1Ck3KtpCgG4CPFmpQ,5.0
Lawyers,lwItZ1Ck3KtpCgG4CPFmpQ,5.0
Criminal Defense Law,lwItZ1Ck3KtpCgG4CPFmpQ,5.0
Health & Medical,Kq51_lGAgAigqmENITTr-A,4.0
Beauty & Spas,Kq51_lGAgAigqmENITTr-A,4.0
Laser Hair Removal,Kq51_lGAgAigqmENITTr-A,4.0
Doctors,Kq51_lGAgAigqmENITTr-A,4.0
Hair Removal,Kq51_lGAgAigqmENITTr-A,4.0
Chiropractors,Kq51_lGAgAigqmENITTr-A,4.0
Weight Loss Centers,Kq51_lGAgAigqmENITTr-A,4.0
Sports Medicine,Kq51_lGAgAigqmENITTr-A,4.0
Medical Spas,Kq51_lGAgAigqmENITTr-A,4.0
Skin Care,Kq51_lGAgAigqmENITTr-A,4.0
Fashion,mglME3E7esPSpIF5bias8w,2.5
Shopping,mglME3E7esPSpIF5bias8w,2.5
Department Stores,mglME3E7esPSpIF5bias8w,2.5
Furniture Stores,mglME3E7esPSpIF5bias8w,2.5
Candle Stores,mglME3E7esPSpIF5bias8w,2.5
Home & Garden,mglME3E7esPSpIF5bias8w,2.5
Home Decor,mglME3E7esPSpIF5bias8w,2.5
Restaurants,wghnIlMb_i5U46HMBGx9ig,3.0
Chinese,wghnIlMb_i5U46HMBGx9ig,3.0
Arts & Entertainment,JX4tUpd09YFchLBuI43lGw,4.0
Music Venues,JX4tUpd09YFchLBuI43lGw,4.0
Internet Service Providers,JX4tUpd09YFchLBuI43lGw,4.0
Nightlife,JX4tUpd09YFchLBuI43lGw,4.0
Food,JX4tUpd09YFchLBuI43lGw,4.0
Coffee & Tea,JX4tUpd09YFchLBuI43lGw,4.0
Jazz & Blues,JX4tUpd09YFchLBuI43lGw,4.0
Professional Services,JX4tUpd09YFchLBuI43lGw,4.0
Internet Cafes,JX4tUpd09YFchLBuI43lGw,4.0
Coffee & Tea,lk9IwjZXqUMqqOhM774DtQ,3.5
Restaurants,lk9IwjZXqUMqqOhM774DtQ,3.5
Wine Bars,lk9IwjZXqUMqqOhM774DtQ,3.5
Bars,lk9IwjZXqUMqqOhM774DtQ,3.5
Nightlife,lk9IwjZXqUMqqOhM774DtQ,3.5
American (Traditional),lk9IwjZXqUMqqOhM774DtQ,3.5
Event Planning & Services,lk9IwjZXqUMqqOhM774DtQ,3.5
Food,lk9IwjZXqUMqqOhM774DtQ,3.5
Caterers,lk9IwjZXqUMqqOhM774DtQ,3.5
Breakfast & Brunch,lk9IwjZXqUMqqOhM774DtQ,3.5
Cafes,lk9IwjZXqUMqqOhM774DtQ,3.5
Diners,lk9IwjZXqUMqqOhM774DtQ,3.5
Shipping Centers,bCBPXIVfVzBZBEpFu29dcg,5.0
Local Services,bCBPXIVfVzBZBEpFu29dcg,5.0
Restaurants,ABxoFuzZy5mqQ8C5FJJajQ,5.0
Italian,ABxoFuzZy5mqQ8C5FJJajQ,5.0
Active Life,Hwt3_mOEmU-t--ywcemnMg,3.0
Fitness & Instruction,Hwt3_mOEmU-t--ywcemnMg,3.0
Trainers,Hwt3_mOEmU-t--ywcemnMg,3.0
Gyms,Hwt3_mOEmU-t--ywcemnMg,3.0
Yoga,Hwt3_mOEmU-t--ywcemnMg,3.0
Real Estate Agents,REwfwz-_-CMQ7Np5UVi9Qg,5.0
Home Services,REwfwz-_-CMQ7Np5UVi9Qg,5.0
Real Estate,REwfwz-_-CMQ7Np5UVi9Qg,5.0
Specialty Food,5BmQX4UVJY19mMtafMg7JA,4.0
Bakeries,5BmQX4UVJY19mMtafMg7JA,4.0
Food,5BmQX4UVJY19mMtafMg7JA,4.0
Health Markets,5BmQX4UVJY19mMtafMg7JA,4.0
Coffee & Tea,cVBxfMC4lp3DnocjYA3FHQ,5.0
Cafes,cVBxfMC4lp3DnocjYA3FHQ,5.0
Pets,cVBxfMC4lp3DnocjYA3FHQ,5.0
Restaurants,cVBxfMC4lp3DnocjYA3FHQ,5.0
Pet Adoption,cVBxfMC4lp3DnocjYA3FHQ,5.0
Food,cVBxfMC4lp3DnocjYA3FHQ,5.0
Food,0qNpTGTcqPwOLi2hADx4Xw,3.0
Grocery,0qNpTGTcqPwOLi2hADx4Xw,3.0
Convenience Stores,0qNpTGTcqPwOLi2hADx4Xw,3.0
Hotels,xM6LoUcnpDpMBzXs_7dXAg,3.0
Hotels & Travel,xM6LoUcnpDpMBzXs_7dXAg,3.0
Event Planning & Services,xM6LoUcnpDpMBzXs_7dXAg,3.0
Vitamins & Supplements,txyXRytGjwOXvS8s4sc-WA,3.0
Ice Cream & Frozen Yogurt,txyXRytGjwOXvS8s4sc-WA,3.0
Food,txyXRytGjwOXvS8s4sc-WA,3.0
Juice Bars & Smoothies,txyXRytGjwOXvS8s4sc-WA,3.0
Shopping,txyXRytGjwOXvS8s4sc-WA,3.0
Ophthalmologists,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Eyewear & Opticians,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Health & Medical,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Shopping,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Doctors,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Optometrists,DQ7PyYlp2bX96WZa7TcaWQ,2.5
Restaurants,uI9XODGY_2_ieTE6xJ0myw,4.0
American (New),uI9XODGY_2_ieTE6xJ0myw,4.0
Italian,uI9XODGY_2_ieTE6xJ0myw,4.0
Restaurants,JgpnXv_0XhV3SfbfB50nxw,4.0
Pizza,JgpnXv_0XhV3SfbfB50nxw,4.0
Restaurants,Si6LXSR9gvAbmgO5DzV2cw,2.5
Soup,Si6LXSR9gvAbmgO5DzV2cw,2.5
Seafood,Si6LXSR9gvAbmgO5DzV2cw,2.5
Burgers,Si6LXSR9gvAbmgO5DzV2cw,2.5
Sports Bars,seKihQKpGGnCeLuELRQPSQ,3.5
American (New),seKihQKpGGnCeLuELRQPSQ,3.5
American (Traditional),seKihQKpGGnCeLuELRQPSQ,3.5
Nightlife,seKihQKpGGnCeLuELRQPSQ,3.5
Bars,seKihQKpGGnCeLuELRQPSQ,3.5
Restaurants,seKihQKpGGnCeLuELRQPSQ,3.5
Gastropubs,L_TT0BFmFwORAMaA83K54A,2.5
Cocktail Bars,L_TT0BFmFwORAMaA83K54A,2.5
Beer Bar,L_TT0BFmFwORAMaA83K54A,2.5
Bars,L_TT0BFmFwORAMaA83K54A,2.5
Restaurants,L_TT0BFmFwORAMaA83K54A,2.5
Nightlife,L_TT0BFmFwORAMaA83K54A,2.5
Uniforms,mjWvAkNqoA6Y5P03sDSzfA,2.0
Shopping,mjWvAkNqoA6Y5P03sDSzfA,2.0
Seafood,qfWJmJ0g96eM_fWma3ja0g,3.0
Restaurants,qfWJmJ0g96eM_fWma3ja0g,3.0
Bars,qfWJmJ0g96eM_fWma3ja0g,3.0
Nightlife,qfWJmJ0g96eM_fWma3ja0g,3.0
Cocktail Bars,qfWJmJ0g96eM_fWma3ja0g,3.0
American (New),qfWJmJ0g96eM_fWma3ja0g,3.0
Pubs,qfWJmJ0g96eM_fWma3ja0g,3.0
Hotels & Travel,uczmbBk5O3tYhGue13dCDg,4.0
Tours,uczmbBk5O3tYhGue13dCDg,4.0
Local Flavor,uczmbBk5O3tYhGue13dCDg,4.0
Local Services,n7AQvGvNHlmun3kqXeBKVQ,5.0
Appliances & Repair,n7AQvGvNHlmun3kqXeBKVQ,5.0
Towing,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Hotels & Travel,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Automotive,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Motorcycle Rental,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Motorcycle Gear,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Shopping,eYxGFkxo6m3SYGVTh5m2nQ,4.5
Chocolatiers & Shops,lOP3HxdUTaq0eXhwR_KC-w,4.0
Specialty Food,lOP3HxdUTaq0eXhwR_KC-w,4.0
Candy Stores,lOP3HxdUTaq0eXhwR_KC-w,4.0
Food,lOP3HxdUTaq0eXhwR_KC-w,4.0
Food,KWA2qtdwVEkMpd5soSKaGA,3.5
Grocery,KWA2qtdwVEkMpd5soSKaGA,3.5
Food Trucks,gbN4RuUiiBxQ2GBFQ2p3Cw,5.0
Food,gbN4RuUiiBxQ2GBFQ2p3Cw,5.0
Shopping,B2qqjCl_BNNnXvWWfpFiLA,1.5
Baby Gear & Furniture,B2qqjCl_BNNnXvWWfpFiLA,1.5
Home Decor,B2qqjCl_BNNnXvWWfpFiLA,1.5
Furniture Stores,B2qqjCl_BNNnXvWWfpFiLA,1.5
Home & Garden,B2qqjCl_BNNnXvWWfpFiLA,1.5
Banks & Credit Unions,7PDi_iyik3jraDAzWwwR4Q,1.5
Financial Services,7PDi_iyik3jraDAzWwwR4Q,1.5
American (Traditional),8rb-3VYXE37IZix4yOdskw,2.5
Bars,8rb-3VYXE37IZix4yOdskw,2.5
Nightlife,8rb-3VYXE37IZix4yOdskw,2.5
Sports Bars,8rb-3VYXE37IZix4yOdskw,2.5
Restaurants,8rb-3VYXE37IZix4yOdskw,2.5
Health & Medical,9Rww8yE6Dm4dSMEq09nwXg,4.5
Personal Care Services,9Rww8yE6Dm4dSMEq09nwXg,4.5
Beauty & Spas,9Rww8yE6Dm4dSMEq09nwXg,4.5
Massage,9Rww8yE6Dm4dSMEq09nwXg,4.5
Nail Salons,9Rww8yE6Dm4dSMEq09nwXg,4.5
American (Traditional),aCDY7vXYMs54EbYuQScsnQ,4.5
Sports Bars,aCDY7vXYMs54EbYuQScsnQ,4.5
Restaurants,aCDY7vXYMs54EbYuQScsnQ,4.5
Bars,aCDY7vXYMs54EbYuQScsnQ,4.5
Nightlife,aCDY7vXYMs54EbYuQScsnQ,4.5
Steakhouses,aCDY7vXYMs54EbYuQScsnQ,4.5
Salad,aCDY7vXYMs54EbYuQScsnQ,4.5
Beer Bar,aCDY7vXYMs54EbYuQScsnQ,4.5
Food,-4dYswJy7SPcbcERvitmIg,2.5
Grocery,-4dYswJy7SPcbcERvitmIg,2.5
Tabletop Games,mFTaYsRDyeFaY2NDLfSaAA,4.5
Shopping,mFTaYsRDyeFaY2NDLfSaAA,4.5
Sporting Goods,mFTaYsRDyeFaY2NDLfSaAA,4.5
Italian,x9K0RfZaT_zlw6DklBDzjw,3.5
Restaurants,x9K0RfZaT_zlw6DklBDzjw,3.5
Burgers,pJfh3Ct8iL58NZa8ta-a5w,4.5
Sports Bars,pJfh3Ct8iL58NZa8ta-a5w,4.5
Bars,pJfh3Ct8iL58NZa8ta-a5w,4.5
Lounges,pJfh3Ct8iL58NZa8ta-a5w,4.5
Restaurants,pJfh3Ct8iL58NZa8ta-a5w,4.5
Salad,pJfh3Ct8iL58NZa8ta-a5w,4.5
Wraps,pJfh3Ct8iL58NZa8ta-a5w,4.5
Nightlife,pJfh3Ct8iL58NZa8ta-a5w,4.5
American (New),pJfh3Ct8iL58NZa8ta-a5w,4.5
Festivals,cvP_vh_bOLbCY3eoY1Xw-A,4.5
Arts & Entertainment,cvP_vh_bOLbCY3eoY1Xw-A,4.5
Food,7clCBgNbd-x2Wj96lZ6Mjw,4.5
Beer,7clCBgNbd-x2Wj96lZ6Mjw,4.5
Wine & Spirits,7clCBgNbd-x2Wj96lZ6Mjw,4.5
Breweries,7clCBgNbd-x2Wj96lZ6Mjw,4.5
Restaurants,ppFCk9aQkM338Rgwpl2F5A,3.0
Automotive,ppFCk9aQkM338Rgwpl2F5A,3.0
Delis,ppFCk9aQkM338Rgwpl2F5A,3.0
Gas Stations,ppFCk9aQkM338Rgwpl2F5A,3.0
Food,ppFCk9aQkM338Rgwpl2F5A,3.0
Coffee & Tea,ppFCk9aQkM338Rgwpl2F5A,3.0
Sandwiches,ppFCk9aQkM338Rgwpl2F5A,3.0
Convenience Stores,ppFCk9aQkM338Rgwpl2F5A,3.0
Restaurants,NZ_bFJma7brQUfln5h1UAg,3.5
Japanese,NZ_bFJma7brQUfln5h1UAg,3.5
Sushi Bars,NZ_bFJma7brQUfln5h1UAg,3.5
Asian Fusion,NZ_bFJma7brQUfln5h1UAg,3.5
Keys & Locksmiths,eMjnw_7wp-CscyNh6Lu0ZA,4.5
Home Services,eMjnw_7wp-CscyNh6Lu0ZA,4.5
Local Services,eMjnw_7wp-CscyNh6Lu0ZA,4.5
Food,IDtLPgUrqorrpqSLdfMhZQ,4.0
Restaurants,IDtLPgUrqorrpqSLdfMhZQ,4.0
Salad,IDtLPgUrqorrpqSLdfMhZQ,4.0
Coffee & Tea,IDtLPgUrqorrpqSLdfMhZQ,4.0
Breakfast & Brunch,IDtLPgUrqorrpqSLdfMhZQ,4.0
Sandwiches,IDtLPgUrqorrpqSLdfMhZQ,4.0
Bakeries,IDtLPgUrqorrpqSLdfMhZQ,4.0
Pet Groomers,sE6jSnvMts_MAn-b4OkMAw,4.0
Pet Sitting,sE6jSnvMts_MAn-b4OkMAw,4.0
Pets,sE6jSnvMts_MAn-b4OkMAw,4.0
Pet Services,sE6jSnvMts_MAn-b4OkMAw,4.0
Nightlife,YNjyv0gfOr2g8lbmUpTnKg,4.5
Pubs,YNjyv0gfOr2g8lbmUpTnKg,4.5
Event Planning & Services,YNjyv0gfOr2g8lbmUpTnKg,4.5
Wine Bars,YNjyv0gfOr2g8lbmUpTnKg,4.5
Bars,YNjyv0gfOr2g8lbmUpTnKg,4.5
Gastropubs,YNjyv0gfOr2g8lbmUpTnKg,4.5
Restaurants,YNjyv0gfOr2g8lbmUpTnKg,4.5
Venues & Event Spaces,YNjyv0gfOr2g8lbmUpTnKg,4.5
Juice Bars & Smoothies,LhpPSrulqVeTyJeK2xydvQ,4.5
Restaurants,LhpPSrulqVeTyJeK2xydvQ,4.5
Fruits & Veggies,LhpPSrulqVeTyJeK2xydvQ,4.5
Salad,LhpPSrulqVeTyJeK2xydvQ,4.5
Specialty Food,LhpPSrulqVeTyJeK2xydvQ,4.5
Food,LhpPSrulqVeTyJeK2xydvQ,4.5
Ice Cream & Frozen Yogurt,oaboaRBUgGjbo2kfUIKDLQ,4.5
Coffee & Tea,oaboaRBUgGjbo2kfUIKDLQ,4.5
Restaurants,oaboaRBUgGjbo2kfUIKDLQ,4.5
Sandwiches,oaboaRBUgGjbo2kfUIKDLQ,4.5
Food,oaboaRBUgGjbo2kfUIKDLQ,4.5
Home Decor,-ZXYcCyDjj1QimnJyGtYtg,4.5
Shopping,-ZXYcCyDjj1QimnJyGtYtg,4.5
Antiques,-ZXYcCyDjj1QimnJyGtYtg,4.5
Books,-ZXYcCyDjj1QimnJyGtYtg,4.5
Mags,-ZXYcCyDjj1QimnJyGtYtg,4.5
Music & Video,-ZXYcCyDjj1QimnJyGtYtg,4.5
Home & Garden,-ZXYcCyDjj1QimnJyGtYtg,4.5
Towing,nUqrF-h9S7myCcvNDecOvw,4.5
Automotive,nUqrF-h9S7myCcvNDecOvw,4.5
Body Shops,nUqrF-h9S7myCcvNDecOvw,4.5
Fashion,vR9_bhoszcpXbB_APv6Xlw,5.0
Shopping,vR9_bhoszcpXbB_APv6Xlw,5.0
Men's Clothing,vR9_bhoszcpXbB_APv6Xlw,5.0
